"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Ferenga","Ferenga","Ferenga","Scarinae",333,46,398,102,"CORDIO"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Ferenga","Ferenga","Ferenga","Epinephelidae",40,40,12,17,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Itsandra","NA","Bandamadji","Itsandra","Barakani","Scarinae",8,18,1,2,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Itsandra","NA","Bandamadji","Itsandra","Barakani","Epinephelidae",112,107,16,17,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Male","Male","Male","Scarinae",93,83,93,105,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Male","Male","Male","Epinephelidae",53,46,11,10,"CORDIO"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Mirereni","Mirereni","Mirereni","Scarinae",213,129,90,59,"CORDIO"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Mirereni","Mirereni","Mirereni","Epinephelidae",27,23,3,4,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Mitsamiuli Ndroude National Park","NA","Mitsamiuli","Mitsamiouli","Mitsamiouli","Scarinae",424,464,96,80,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Mitsamiuli Ndroude National Park","NA","Mitsamiuli","Mitsamiouli","Mitsamiouli","Epinephelidae",24,22,10,12,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Bambao","NA","Moindzaza","Moindzzaza","Moindzaza","Scarinae",293,115,142,75,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Bambao","NA","Moindzaza","Moindzzaza","Moindzaza","Epinephelidae",200,80,37,6,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore",NA,"NA","Shomoni","Shomoni","Shom1","Scarinae",133,83,77,84,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore",NA,"NA","Shomoni","Shomoni","Shom1","Epinephelidae",13,23,1,2,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Bahaoussi","Bahausi","Bahausi","Scarinae",432,225,74,53,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Bahaoussi","Bahausi","Bahausi","Epinephelidae",160,98,12,11,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Boinaidi","Bwanaidi","Bwana_Iddi","Scarinae",272,250,44,45,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Boinaidi","Bwanaidi","Bwana_Iddi","Epinephelidae",136,119,64,84,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Damu","Damu","Damu","Scarinae",88,66,20,29,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Damu","Damu","Damu","Epinephelidae",120,94,38,66,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Ferenga","Ferenga","Ferenga","Scarinae",144,96,41,45,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Ferenga","Ferenga","Ferenga","Epinephelidae",152,87,20,22,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mchaco","Itsamia","Itsamia","Scarinae",376,269,86,87,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mchaco","Itsamia","Itsamia","Epinephelidae",152,44,13,9,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mea","Mea","Mea","Scarinae",376,171,61,32,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mea","Mea","Mea","Epinephelidae",80,40,8,8,"CORDIO"
