"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Itsoundzou","Itsoundzou","Itsoundzou","Itsoundzou","Epinephelidae",330,358.33,151.42,222.44,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Itsoundzou","Itsoundzou","Itsoundzou","Itsoundzou","Scarinae",290,231.8,51.15,29.06,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ivoini","Ivoini","Ivoini","Ivoini","Epinephelidae",168,99.6,11.74,8.86,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ivoini","Ivoini","Ivoini","Ivoini","Scarinae",24,35.78,3.39,4.75,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Epinephelidae",10,20,0.48,0.95,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",455,388.63,25.83,22.26,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Epinephelidae",8,17.89,0.38,0.85,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Scarinae",72,76.94,4.51,5.46,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Male","Male","Male","Male","Epinephelidae",184,104.31,17.08,9.69,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Male","Male","Male","Male","Scarinae",128,124.58,17,11.3,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Memboimboini","Memboimboini","Memboimboini","Memboimboini","Epinephelidae",100,23.09,11.85,3.79,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Memboimboini","Memboimboini","Memboimboini","Memboimboini","Scarinae",90,154.49,22.68,33.77,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Epinephelidae",20,37.71,1.85,4.5,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Scarinae",142,160.96,7.26,8.03,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Scarinae",144,138.85,8.93,7.61,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Epinephelidae",12,17.89,0.6,0.89,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Scarinae",100,76.16,4.85,3.7,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ndroude","Ndroude","Ndroude","Ndroude","Epinephelidae",104,60.66,149.3,297.8,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ndroude","Ndroude","Ndroude","Ndroude","Scarinae",128,59.33,19.59,12.06,"CORDIO"
"Comoros","Mwali","Mwali","2022","National Park","Moheli island","Moheli National Park","Nkandzoni","Nkandzoni","Nkandzoni","Nkandzoni","Epinephelidae",24,35.78,1.93,3.16,"CORDIO"
"Comoros","Mwali","Mwali","2022","National Park","Moheli island","Moheli National Park","Nkandzoni","Nkandzoni","Nkandzoni","Nkandzoni","Scarinae",584,373.74,222.01,163.91,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Epinephelidae",24,16.73,0.97,0.67,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Scarinae",120,151.66,6.17,5.48,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Epinephelidae",30,23.57,1.21,1.12,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Scarinae",152,113.22,11.38,14.26,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Open access","Anjouan Island","Vouani","Darsalama","Darsalama","Darsalama","Darsalama","Scarinae",312,351.66,21.97,28.68,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",20,14.14,0.95,0.67,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",540,388.59,32.74,23.33,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Fassi","Fassi","Fassi","Fassi","Scarinae",390,140,50,33.67,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Fassi","Fassi","Fassi","Fassi","Epinephelidae",230,182.94,6.33,5.79,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",72,48.17,2.74,1.43,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",456,288.93,24.69,20,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Epinephelidae",12,17.89,0.2,0.42,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Scarinae",80,86.02,12.45,18.37,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Epinephelidae",72,71.55,3.42,3.4,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",480,399,18.56,16.04,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Mitsamiuli","Mitsamiuli","Mitsamiuli","Mitsamiuli","Scarinae",230,151,42.74,24.35,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Mitsamiuli","Mitsamiuli","Mitsamiuli","Mitsamiuli","Epinephelidae",90,60,6.53,5.88,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Epinephelidae",8,13.98,0.4,0.69,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Scarinae",264,242.54,13.39,12.95,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Epinephelidae",6.67,9.43,0.33,0.46,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Scarinae",140,129.61,4.78,6.16,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Scarinae",928,655.07,32.18,24.18,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Ndjelezi","Ndjelezi","Ndjelezi","Ndjelezi","Scarinae",200,117.76,35.86,29.63,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2023","National Park","Grand Comore","Grand Comore","Ndjelezi","Ndjelezi","Ndjelezi","Ndjelezi","Epinephelidae",170,82.46,13.91,4.1,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Epinephelidae",32,33.47,1.52,1.59,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Scarinae",96,60.66,9.61,8.31,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Epinephelidae",40,38.87,1.81,1.72,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2023","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Scarinae",340,325.78,21.9,21.06,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Open access","Anjouan Island","Vouani","Darsalama","Darsalama","Darsalama","Darsalama","Epinephelidae",8,16.87,0.21,0.65,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Open access","Anjouan Island","Vouani","Darsalama","Darsalama","Darsalama","Darsalama","Scarinae",44,51.47,2.28,3.18,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",8,17.89,0.38,0.85,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",72,65.73,3.43,3.11,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Fumboni","Fumboni","Fumboni","Fumboni","Epinephelidae",230,154.49,22.8,11.01,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Fumboni","Fumboni","Fumboni","Fumboni","Scarinae",280,138.56,36.31,28.95,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Habwanajibou","Habwanajibou","Habwanajibou","Habwanajibou","Epinephelidae",64,45.61,9.66,8.6,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Habwanajibou","Habwanajibou","Habwanajibou","Habwanajibou","Scarinae",264,145.88,63.91,53.3,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",53.33,23.09,1.92,1.87,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",13.33,23.09,0.93,1.62,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Epinephelidae",32,52.15,1.63,2.71,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Scarinae",56,104.31,2.85,4.95,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Harimandago","Harimandago","Harimandago","Harimandago","Epinephelidae",88,76.94,12.22,11.8,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Harimandago","Harimandago","Harimandago","Harimandago","Scarinae",248,186.33,32.15,30.28,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Hashelafou","Hashelafou","Hashelafou","Hashelafou","Epinephelidae",300,161.66,70.94,50.69,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Hashelafou","Hashelafou","Hashelafou","Hashelafou","Scarinae",390,227.16,76.38,52.37,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Lambwa","Lambwa","Lambwa","Lambwa","Epinephelidae",128,99.6,18.21,14.64,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Lambwa","Lambwa","Lambwa","Lambwa","Scarinae",264,156.46,46.35,34.55,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Mayindrini","Mayindrini","Mayindrini","Mayindrini","Epinephelidae",264,186.76,33.06,25.49,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Mayindrini","Mayindrini","Mayindrini","Mayindrini","Scarinae",248,163.46,56.26,35.14,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Epinephelidae",4,12.65,0.2,0.65,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Scarinae",72,118.96,4.51,7.75,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Epinephelidae",8,17.89,0.01,0.03,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Epinephelidae",8,16.87,0.4,0.83,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Scarinae",132,148.53,7.64,9.38,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Shitsangasheli","Shitsangasheli","Shitsangasheli","Shitsangasheli","Epinephelidae",152,65.73,31.09,18.53,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2024","National Park","Anjouan Island","Shisiwani National Park","Shitsangasheli","Shitsangasheli","Shitsangasheli","Shitsangasheli","Scarinae",544,184.61,108.72,42.71,"CORDIO"
