"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Latitude","Longitude","number_replicates","Method","Observer","level1_code","mean_cover","sd","se","Organization","Source"
"Kenya","1998","Kenya","WIO_ALG","Unspecified 9 sites (protected)",NA,NA,NA,"",NA,NA,"","","","Turf algae","31","","","McClanahan et al. 2001","Literature_baseline"
"Sychelles","1998","Sychelles","WIO_ALG","West alphonse",NA,NA,NA,"",NA,NA,"","","","Macro-algae","20","","","Spalding & Jarvis 2002","Literature_baseline"
"Comoros","1999","Grand Comore","Mitsamiuli Ndroude National Park","Mitsamiuli","","Partially restricted","National Park","","-11.3791","43.28735","","","","Hard coral","55.0","","","Quod & Bigot","Literature_baseline"
"Comoros","1999","Grand Comore","Mitsamiuli Ndroude National Park","Mitsamiuli","","Partially restricted","National Park","","-11.3791","43.28735","","","","Macro-algae","32.0","","","Quod & Bigot","Literature_baseline"
"Comoros","1999","Moheli island","Moheli National Park","Uknown","","Partially Restricted","National Park","","",NA,"","","","Hard coral","54.0","","","Quod & Bigot","Literature_baseline"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Bare substrate","6.18",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Hard coral","17.13",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Coralline algae","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Other inverts","1.6",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Sand","1.88",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Macro-algae","0.27",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Rubble","43.08",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Soft coral","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Dead standing coral","0.8",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","TWS","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"-12.398","43.698","15","","","Turf algae","29.07",NA,NA,"CORDIO","RLE 2019"
